,plotNo,pairNo,nPlots,block,accession_name,intercrop,category,seedlot_name,crop,crop_2,intercrop_accession_name,X,entry
137,137,72,4,Block3,NF12AS-107-4_4,monocrop,WOP_Mirza_selection,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,Oat,oat,NA,62,62
138,138,73,4,Block3,NF99414,monocrop,WOP_Mirza_selection,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,Oat,oat,NA,72,72
139,139,73,4,Block3,NF99414,intercrop,WOP_Mirza_selection,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,Oat,oat-pea,BLAZE,72,72
140,140,74,4,Block3,TX20CAS1071,intercrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat-pea,BLAZE,91,91
141,141,74,4,Block3,TX20CAS1071,monocrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat,NA,91,91
142,142,75,8,Block3,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
143,143,76,4,Block3,FLLA17088-61,monocrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat,NA,10,10
144,144,76,4,Block3,FLLA17088-61,intercrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat-pea,BLAZE,10,10
145,145,77,4,Block3,NC21-6429,intercrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat-pea,BLAZE,52,52
146,146,77,4,Block3,NC21-6429,monocrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat,NA,52,52
147,147,78,4,Block3,NC21-6492,intercrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,BLAZE,54,54
148,148,78,4,Block3,NC21-6492,monocrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
149,149,79,4,Block3,TX19CAS0057,monocrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat,NA,90,90
150,150,79,4,Block3,TX19CAS0057,intercrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat-pea,BLAZE,90,90
151,151,80,4,Block3,NF99414-1,intercrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat-pea,BLAZE,71,71
152,152,80,4,Block3,NF99414-1,monocrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat,NA,71,71
153,153,81,4,Block3,SCLA17080SBS-4-2,intercrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat-pea,BLAZE,80,80
154,154,81,4,Block3,SCLA17080SBS-4-2,monocrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat,NA,80,80
155,155,82,4,Block4,NC21-6492,monocrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
156,156,82,4,Block4,NC21-6492,intercrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,KEYSTONE,54,54
157,157,83,4,Block4,NC17-6440,intercrop,WOP_Mirza_selection,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,Oat,oat-pea,BLAZE,41,41
158,158,83,4,Block4,NC17-6440,monocrop,WOP_Mirza_selection,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,Oat,oat,NA,41,41
159,159,84,1,Block4,NF12AS-73-4_3,intercrop,Biomass,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,BLAZE,64,64
160,160,85,4,Block4,NC21-6475,intercrop,WOP_Mirza_selection,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,Oat,oat-pea,BLAZE,53,53
161,161,85,4,Block4,NC21-6475,monocrop,WOP_Mirza_selection,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,Oat,oat,NA,53,53
162,162,86,4,Block4,SCLA17030SBSS-57-1,intercrop,UWON,SCLA17030SBSS-57-1_2026_UWON_Entry_23,Oat,oat-pea,BLAZE,79,79
163,163,86,4,Block4,SCLA17030SBSS-57-1,monocrop,UWON,SCLA17030SBSS-57-1_2026_UWON_Entry_23,Oat,oat,NA,79,79
164,164,87,4,Block4,NF13-4157-4_2,intercrop,WOP_Mirza_selection,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,Oat,oat-pea,BLAZE,67,67
165,165,87,4,Block4,NF13-4157-4_2,monocrop,WOP_Mirza_selection,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,Oat,oat,NA,67,67
166,166,88,4,Block4,FL17556-1,intercrop,UWON,FL17556-1_2026_UWON_Entry_14,Oat,oat-pea,BLAZE,8,8
167,167,88,4,Block4,FL17556-1,monocrop,UWON,FL17556-1_2026_UWON_Entry_14,Oat,oat,NA,8,8
168,168,89,4,Block4,NF13-4173-4_5,monocrop,WOP_Mirza_selection,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,Oat,oat,NA,68,68
169,169,89,4,Block4,NF13-4173-4_5,intercrop,WOP_Mirza_selection,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,Oat,oat-pea,BLAZE,68,68
170,170,90,4,Block4,NC12-3578,monocrop,SOAP_selection,NC12-3578-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,32,32
171,171,90,4,Block4,NC12-3578,intercrop,SOAP_selection,NC12-3578-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,32,32
172,172,91,4,Block4,NC20-4700,monocrop,WOP_Mirza_selection,NC20-4700-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,Oat,oat,NA,48,48
173,173,91,4,Block4,NC20-4700,intercrop,WOP_Mirza_selection,NC20-4700-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,Oat,oat-pea,BLAZE,48,48
174,174,92,4,Block4,LA17153SBSS-46-1,intercrop,WOP_Mirza_selection,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,Oat,oat-pea,BLAZE,21,21
175,175,92,4,Block4,LA17153SBSS-46-1,monocrop,WOP_Mirza_selection,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,Oat,oat,NA,21,21
176,176,93,4,Block4,FLLA11019-8,monocrop,UWON,FLLA11019-8_2026_UWON_Entry_04,Oat,oat,NA,9,9
177,177,93,4,Block4,FLLA11019-8,intercrop,UWON,FLLA11019-8_2026_UWON_Entry_04,Oat,oat-pea,BLAZE,9,9
178,178,94,4,Block4,TX18OCS9028,monocrop,UWON,TX18OCS9028_2026_UWON_Entry_08,Oat,oat,NA,86,86
179,179,94,4,Block4,TX18OCS9028,intercrop,UWON,TX18OCS9028_2026_UWON_Entry_08,Oat,oat-pea,BLAZE,86,86
180,180,95,4,Block4,NC21-6359N,monocrop,Hull-less,NC21-6359N_LEX25_Nuda_AT_Plot_1203,Oat,oat,NA,51,51
181,181,95,4,Block4,NC21-6359N,intercrop,Hull-less,NC21-6359N_LEX25_Nuda_AT_Plot_1203,Oat,oat-pea,BLAZE,51,51
182,182,96,2,Block4,PA8014-840,intercrop,WOF_selection,PA8014-840-CU_2025_Ithaca_WOF_HR_bulk,Oat,oat-pea,BLAZE,78,78
183,183,96,2,Block4,PA8014-840,monocrop,WOF_selection,PA8014-840-CU_2025_Ithaca_WOF_HR_bulk,Oat,oat,NA,78,78
184,184,97,4,Block4,GERARD224,monocrop,WOP_Mirza_selection,GERARD224-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,Oat,oat,NA,12,12
185,185,97,4,Block4,GERARD224,intercrop,WOP_Mirza_selection,GERARD224-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,Oat,oat-pea,BLAZE,12,12
186,186,98,4,Block4,SCLA18073SSB-36-1,intercrop,UWON,SCLA18073SSB-36-1_2026_UWON_Entry_26,Oat,oat-pea,BLAZE,83,83
187,187,98,4,Block4,SCLA18073SSB-36-1,monocrop,UWON,SCLA18073SSB-36-1_2026_UWON_Entry_26,Oat,oat,NA,83,83
188,188,99,4,Block4,TX18OCS9125,monocrop,WOP_Mirza_selection,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,Oat,oat,NA,89,89
189,189,99,4,Block4,TX18OCS9125,intercrop,WOP_Mirza_selection,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,Oat,oat-pea,BLAZE,89,89
190,190,100,4,Block4,PA7617-3658,intercrop,Biomass,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,Oat,oat-pea,BLAZE,77,77
191,191,101,4,Block4,NC21-6429,monocrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat,NA,52,52
192,192,101,4,Block4,NC21-6429,intercrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat-pea,BLAZE,52,52
193,193,102,4,Block4,NORA,intercrop,WOP_Mirza_selection,NORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,Oat,oat-pea,BLAZE,73,73
194,194,102,4,Block4,NORA,monocrop,WOP_Mirza_selection,NORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,Oat,oat,NA,73,73
195,195,103,8,Block4,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
196,196,104,4,Block4,OZARK|POGI,intercrop,Biomass,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,BLAZE,75,75
197,197,105,4,Block4,NC14-1989,monocrop,SOAP_selection,NC14-1989-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,40,40
198,198,105,4,Block4,NC14-1989,intercrop,SOAP_selection,NC14-1989-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,40,40
199,199,106,4,Block4,LA18155SSB-20-2,monocrop,UWON,LA18155SSB-20-2_2026_UWON_Entry_19,Oat,oat,NA,23,23
200,200,106,4,Block4,LA18155SSB-20-2,intercrop,UWON,LA18155SSB-20-2_2026_UWON_Entry_19,Oat,oat-pea,BLAZE,23,23
201,201,107,4,Block4,NC20-4402,monocrop,WOP_Mirza_selection,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,Oat,oat,NA,44,44
202,202,107,4,Block4,NC20-4402,intercrop,WOP_Mirza_selection,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,Oat,oat-pea,BLAZE,44,44
203,203,108,4,Block4,LA17129SBSS-8-1,intercrop,WOP_Mirza_selection,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,Oat,oat-pea,BLAZE,20,20
204,204,108,4,Block4,LA17129SBSS-8-1,monocrop,WOP_Mirza_selection,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,Oat,oat,NA,20,20
205,205,109,4,Block5,OZARK|POGI,intercrop,Biomass,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,BLAZE,75,75
206,206,110,4,Block5,SCLA17080SBS-4-2,monocrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat,NA,80,80
207,207,110,4,Block5,SCLA17080SBS-4-2,intercrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat-pea,BLAZE,80,80
208,208,111,4,Block5,NC21-6492,intercrop,Biomass,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,BLAZE,54,54
209,209,112,4,Block5,AURORA,intercrop,WOP_Mirza_selection,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,Oat,oat-pea,BLAZE,1,1
210,210,112,4,Block5,AURORA,monocrop,WOP_Mirza_selection,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,Oat,oat,NA,1,1
211,211,113,4,Block5,NC21-6357N,intercrop,Hull-less,NC21-6357N_LEX25_Nuda_AT_Plot_1202,Oat,oat-pea,BLAZE,50,50
212,212,113,4,Block5,NC21-6357N,monocrop,Hull-less,NC21-6357N_LEX25_Nuda_AT_Plot_1202,Oat,oat,NA,50,50
213,213,114,4,Block5,TX21CAS2064,intercrop,UWON,TX21CAS2064_2026_UWON_Entry_09,Oat,oat-pea,BLAZE,92,92
214,214,114,4,Block5,TX21CAS2064,monocrop,UWON,TX21CAS2064_2026_UWON_Entry_09,Oat,oat,NA,92,92
215,215,115,4,Block5,NC21-6475,intercrop,WOP_Mirza_selection,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,Oat,oat-pea,BLAZE,53,53
216,216,115,4,Block5,NC21-6475,monocrop,WOP_Mirza_selection,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,Oat,oat,NA,53,53
217,217,116,4,Block5,NF12AS-73-4_3,monocrop,WOP_Mirza_selection,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat,NA,64,64
218,218,116,4,Block5,NF12AS-73-4_3,intercrop,WOP_Mirza_selection,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,BLAZE,64,64
219,219,117,4,Block5,OZARK|POGI,intercrop,Biomass,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,BLAZE,75,75
220,220,118,4,Block5,NO_OAT_PLANTED,monocrop,Biomass,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
221,221,119,4,Block5,FL17539-27,intercrop,UWON,FL17539-27_2026_UWON_Entry_12,Oat,oat-pea,BLAZE,6,6
222,222,119,4,Block5,FL17539-27,monocrop,UWON,FL17539-27_2026_UWON_Entry_12,Oat,oat,NA,6,6
223,223,120,2,Block5,M-311,intercrop,WOF_selection,M-311-CU_2025_Ithaca_WOF_HR_bulk,Oat,oat-pea,BLAZE,29,29
224,224,120,2,Block5,M-311,monocrop,WOF_selection,M-311-CU_2025_Ithaca_WOF_HR_bulk,Oat,oat,NA,29,29
225,225,121,8,Block5,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
226,226,122,4,Block5,TX18OCS9125,monocrop,WOP_Mirza_selection,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,Oat,oat,NA,89,89
227,227,122,4,Block5,TX18OCS9125,intercrop,WOP_Mirza_selection,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,Oat,oat-pea,BLAZE,89,89
228,228,123,4,Block5,SCLA18110SSB-44-2,monocrop,UWON,SCLA18110SSB-44-2_2026_UWON_Entry_27,Oat,oat,NA,84,84
229,229,123,4,Block5,SCLA18110SSB-44-2,intercrop,UWON,SCLA18110SSB-44-2_2026_UWON_Entry_27,Oat,oat-pea,BLAZE,84,84
230,230,124,4,Block5,Gerard 227,intercrop,WOP_Mirza_selection,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,Oat,oat-pea,BLAZE,13,13
231,231,124,4,Block5,Gerard 227,monocrop,WOP_Mirza_selection,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,Oat,oat,NA,13,13
232,232,125,4,Block5,NC20-4402,intercrop,WOP_Mirza_selection,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,Oat,oat-pea,BLAZE,44,44
233,233,125,4,Block5,NC20-4402,monocrop,WOP_Mirza_selection,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,Oat,oat,NA,44,44
234,234,126,4,Block5,NC21-6492,monocrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
235,235,126,4,Block5,NC21-6492,intercrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,KEYSTONE,54,54
236,236,127,4,Block5,NF12AS-73-4_3,monocrop,WOP_Mirza_selection,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat,NA,64,64
237,237,127,4,Block5,NF12AS-73-4_3,intercrop,WOP_Mirza_selection,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,BLAZE,64,64
238,238,128,4,Block5,NC21-6497,intercrop,WOP_Mirza_selection,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,Oat,oat-pea,BLAZE,55,55
239,239,128,4,Block5,NC21-6497,monocrop,WOP_Mirza_selection,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,Oat,oat,NA,55,55
240,240,129,4,Block5,NC21-6511,monocrop,WOP_Mirza_selection,NC21-6511-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,Oat,oat,NA,56,56
241,241,129,4,Block5,NC21-6511,intercrop,WOP_Mirza_selection,NC21-6511-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,Oat,oat-pea,BLAZE,56,56
242,242,130,4,Block5,NF13-4214-4_5,intercrop,WOP_Mirza_selection,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,Oat,oat-pea,BLAZE,70,70
243,243,130,4,Block5,NF13-4214-4_5,monocrop,WOP_Mirza_selection,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,Oat,oat,NA,70,70
244,244,131,4,Block5,TX20CAS1071,monocrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat,NA,91,91
245,245,131,4,Block5,TX20CAS1071,intercrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat-pea,BLAZE,91,91
246,246,132,4,Block5,NF13-4083-4_6,intercrop,WOP_Mirza_selection,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,Oat,oat-pea,BLAZE,65,65
247,247,132,4,Block5,NF13-4083-4_6,monocrop,WOP_Mirza_selection,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,Oat,oat,NA,65,65
248,248,133,4,Block5,NC20-4526,intercrop,WOP_Mirza_selection,NC20-4526-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,Oat,oat-pea,BLAZE,46,46
249,249,133,4,Block5,NC20-4526,monocrop,WOP_Mirza_selection,NC20-4526-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,Oat,oat,NA,46,46
250,250,134,4,Block5,LA20050SBSB-1-1,monocrop,UWON,LA20050SBSB-1-1_2026_UWON_Entry_20,Oat,oat,NA,24,24
251,251,134,4,Block5,LA20050SBSB-1-1,intercrop,UWON,LA20050SBSB-1-1_2026_UWON_Entry_20,Oat,oat-pea,BLAZE,24,24
252,252,135,4,Block5,LA20053SBSB-27-1,intercrop,UWON,LA20053SBSB-27-1_2026_UWON_Entry_22,Oat,oat-pea,BLAZE,25,25
253,253,135,4,Block5,LA20053SBSB-27-1,monocrop,UWON,LA20053SBSB-27-1_2026_UWON_Entry_22,Oat,oat,NA,25,25
254,254,136,4,Block6,TX18OCS9061,monocrop,UWON,TX18OCS9061_2026_UWON_Entry_07,Oat,oat,NA,87,87
255,255,136,4,Block6,TX18OCS9061,intercrop,UWON,TX18OCS9061_2026_UWON_Entry_07,Oat,oat-pea,BLAZE,87,87
256,256,137,4,Block6,FLLA17088-61,intercrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat-pea,BLAZE,10,10
257,257,137,4,Block6,FLLA17088-61,monocrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat,NA,10,10
258,258,138,4,Block6,NC09-4503N,intercrop,Hull-less,NC09-4503N_LEX25_Nuda_AT_Plot_1201,Oat,oat-pea,BLAZE,31,31
259,259,138,4,Block6,NC09-4503N,monocrop,Hull-less,NC09-4503N_LEX25_Nuda_AT_Plot_1201,Oat,oat,NA,31,31
260,260,139,4,Block6,SCLA18073SSB-36-1,monocrop,UWON,SCLA18073SSB-36-1_2026_UWON_Entry_26,Oat,oat,NA,83,83
261,261,139,4,Block6,SCLA18073SSB-36-1,intercrop,UWON,SCLA18073SSB-36-1_2026_UWON_Entry_26,Oat,oat-pea,BLAZE,83,83
262,262,140,4,Block6,NF13-4083-4_6,monocrop,WOP_Mirza_selection,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,Oat,oat,NA,65,65
263,263,140,4,Block6,NF13-4083-4_6,intercrop,WOP_Mirza_selection,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,Oat,oat-pea,BLAZE,65,65
264,264,141,4,Block6,NF13-4126-4_3,monocrop,WOP_Mirza_selection,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,Oat,oat,NA,66,66
265,265,141,4,Block6,NF13-4126-4_3,intercrop,WOP_Mirza_selection,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,Oat,oat-pea,BLAZE,66,66
266,266,142,4,Block6,NO_OAT_PLANTED,monocrop,Biomass,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
